term,doc_feq,posting_list
cereal,1,{84: []}
cereals,1,{84: []}
certain,3,"{2: [], 84: [], 93: []}"
certificate,1,{79: []}
certificates.,1,{1: []}
chairman,4,"{10: [], 62: [], 72: [], 83: []}"
chairman.,2,"{10: [], 56: []}"
chance,1,{47: []}
change,2,"{2: [], 69: []}"
changed,1,{50: []}
changes,1,{47: []}
changing,1,{73: []}
charge,3,"{8: [], 42: [], 56: []}"
charged,1,{11: []}
charges,2,"{76: [], 94: []}"
chief,3,"{22: [], 62: [], 69: []}"
chips,1,{95: []}
chips.,1,{95: []}
cigarettes,1,{71: []}
circuit,1,{5: []}
circumstances,2,"{2: [], 47: []}"
class,1,{40: []}
clear,2,"{50: [], 84: []}"
clearer,1,{69: []}
climbed,1,{50: []}
close,2,"{77: [], 91: []}"
close.,1,{59: []}
closed,2,"{59: [], 73: []}"
closed.,1,{39: []}
closing,1,{42: []}
coal,1,{41: []}
cocoa,2,"{1: [], 83: []}"
cocoas,1,{83: []}
coffee,1,{69: []}
coking,1,{24: []}
come,2,"{1: [], 47: []}"
comes,1,{58: []}
coming,3,"{1: [], 79: [], 84: []}"
comment,2,"{26: [], 51: []}"
commercial,1,{27: []}
commitment,1,{27: []}
commitments,1,{82: []}
committee,4,"{4: [], 11: [], 59: [], 83: []}"
committees.,1,{10: []}
committing,1,{38: []}
common,9,"{2: [], 6: [], 31: [], 40: [], 65: [], 77: [], 78: [], 93: [], 100: []}"
common.,1,{38: []}
community,1,{85: []}
companies,3,"{27: [], 47: [], 93: []}"
companies.,2,"{72: [], 93: []}"
company,30,"{2: [], 4: [], 5: [], 14: [], 16: [], 20: [], 22: [], 23: [], 27: [], 31: [], 32: [], 38: [], 39: [], 40: [], 42: [], 43: [], 47: [], 50: [], 54: [], 62: [], 63: [], 71: [], 72: [], 77: [], 78: [], 79: [], 91: [], 94: [], 95: [], 100: []}"
company.,3,"{2: [], 7: [], 72: []}"
companys,6,"{22: [], 47: [], 71: [], 79: [], 88: [], 92: []}"
compared,6,"{3: [], 22: [], 50: [], 59: [], 62: [], 76: []}"
compares,2,"{49: [], 89: []}"
compensation,1,{94: []}
competitive.,1,{27: []}
complete,1,{84: []}
completed,5,"{2: [], 5: [], 12: [], 47: [], 83: []}"
completely,1,{22: []}
completion,2,"{20: [], 47: []}"
complex,1,{58: []}
complexity,1,{95: []}
components,1,{20: []}
comprising,1,{49: []}
compromise,1,{83: []}
computer,2,"{2: [], 12: []}"
computers,1,{63: []}
concede,1,{59: []}
concern,2,"{38: [], 50: []}"
concerted,2,"{26: [], 51: []}"
conditions,2,"{2: [], 47: []}"
conducting,1,{72: []}
conference,1,{84: []}
conference.,1,{47: []}
confidence,2,"{50: [], 83: []}"
conform,1,{94: []}
connection,1,{77: []}
consider,1,{4: []}
considered,1,{47: []}
considering,2,"{43: [], 47: []}"
consignment,1,{1: []}
consignment.,1,{1: []}
consolidated,1,{92: []}
consultations,1,{83: []}
consumer,1,{83: []}
consumers,1,{83: []}
contigencies.,1,{43: []}
contingent,1,{42: []}
continue,2,"{2: [], 50: []}"
continued,3,"{1: [], 72: [], 83: []}"
continues,1,{62: []}
continuing,2,"{38: [], 62: []}"
continuous,1,{20: []}
contract,2,"{56: [], 73: []}"
contributor,1,{71: []}
control,4,"{2: [], 26: [], 47: [], 91: []}"
converted,1,{65: []}
convertible,1,{1: []}
converts,1,{20: []}
cooperate,1,{59: []}
cooperation,1,{59: []}
corn,2,"{82: [], 91: []}"
corporations,1,{27: []}
costs,2,"{2: [], 84: []}"
costs.,1,{92: []}
cotton,1,{35: []}
could,6,"{27: [], 47: [], 59: [], 69: [], 83: [], 84: []}"
council,2,"{69: [], 83: []}"
counties,1,{33: []}
countries,2,"{7: [], 89: []}"
countrys,2,"{84: [], 89: []}"
courted,1,{50: []}
covenants,1,{62: []}
covering,1,{73: []}
crack,1,{50: []}
credit,3,"{27: [], 38: [], 47: []}"
credit.,1,{68: []}
creditors,2,"{93: [], 100: []}"
credits,1,{64: []}
crop,2,"{1: [], 35: []}"
crop.,1,{1: []}
crops,1,{84: []}
cross,1,{84: []}
crowns,1,{22: []}
crude,1,{50: []}
cruzados,1,{1: []}
ct,1,{13: []}
cts,34,"{4: [], 5: [], 8: [], 13: [], 15: [], 16: [], 17: [], 19: [], 21: [], 25: [], 30: [], 31: [], 34: [], 39: [], 41: [], 44: [], 46: [], 52: [], 53: [], 56: [], 60: [], 61: [], 64: [], 66: [], 74: [], 75: [], 76: [], 78: [], 80: [], 81: [], 88: [], 92: [], 93: [], 94: []}"
cts.,1,{76: []}
cubic,1,{9: []}
cumulative,1,{1: []}
curb,1,{84: []}
currencies,1,{59: []}
currencies.,1,{26: []}
currency,4,"{1: [], 51: [], 59: [], 84: []}"
current,6,"{2: [], 47: [], 51: [], 59: [], 82: [], 89: []}"
currently,3,"{1: [], 10: [], 59: []}"
customer,2,"{27: [], 85: []}"
cut,1,{89: []}
cutbacks,1,{84: []}
cuts,1,{59: []}
cutting,1,{84: []}
dElectro,1,{29: []}
data,6,"{30: [], 38: [], 74: [], 85: [], 89: [], 98: []}"
day,1,{77: []}
day.,1,{20: []}
days,2,"{59: [], 72: []}"
deal,2,"{77: [], 91: []}"
deal.,1,{12: []}
debentures,1,{77: []}
debt,2,"{32: [], 47: []}"
debt.,1,{47: []}
decide,1,{69: []}
decided,2,"{23: [], 59: []}"
decision,1,{94: []}
decisions,1,{69: []}
declared,2,"{40: [], 53: []}"
decline,1,{27: []}
declined,4,"{26: [], 47: [], 51: [], 79: []}"
declining,1,{24: []}
deferral,1,{63: []}
deferred,2,"{58: [], 63: []}"
deficit,2,"{72: [], 89: []}"
deficit.,1,{72: []}
definitely,1,{79: []}
delay,1,{47: []}
delegates,1,{83: []}
delegations,1,{83: []}
delivered,1,{1: []}
delivery,2,"{27: [], 82: []}"
delivery.,2,"{2: [], 73: []}"
demand,1,{24: []}
demonstrations,1,{84: []}
department,1,{82: []}
deposit,1,{3: []}
deposits,2,"{3: [], 27: []}"
depreciation,1,{89: []}
des,1,{84: []}
design,1,{95: []}
designed,1,{84: []}
designs,1,{92: []}
determination,1,{84: []}
determine,1,{51: []}
develop,1,{95: []}
developed,1,{95: []}
development,1,{89: []}
did,6,"{12: [], 51: [], 59: [], 69: [], 72: [], 99: []}"
differences,1,{84: []}
different,1,{83: []}
differentials,1,{83: []}
difficult,1,{72: []}
dificulties,1,{1: []}
diplomats,1,{11: []}
dipped,1,{26: []}
direct,1,{39: []}
director,2,"{62: [], 83: []}"
directors.,1,{79: []}
disagreement,1,{94: []}
disclose,1,{12: []}
disclosed,1,{5: []}
disclosed.,5,"{29: [], 33: [], 54: [], 86: [], 92: []}"
discomfort,1,{72: []}
discontinue,1,{39: []}
discontinued,6,"{8: [], 13: [], 25: [], 39: [], 61: [], 76: []}"
discounts,1,{73: []}
discuss,1,{69: []}
discussed,1,{26: []}
discussion,2,"{83: [], 84: []}"
discussions,1,{72: []}
dismantling,1,{84: []}
disposal,2,"{39: [], 50: []}"
dispose,1,{50: []}
disrupt,1,{84: []}
distribute,2,"{32: [], 77: []}"
distributed,1,{31: []}
distribution,1,{77: []}
div,5,"{34: [], 44: [], 46: [], 60: [], 75: []}"
diversification,1,{27: []}
divest,1,{12: []}
dividend,6,"{31: [], 32: [], 40: [], 53: [], 78: [], 80: []}"
dividend.,2,"{31: [], 32: []}"
dividends,1,{40: []}
dlr,9,"{41: [], 47: [], 50: [], 58: [], 59: [], 62: [], 68: [], 72: [], 85: []}"
dlrs,31,"{1: [], 2: [], 4: [], 5: [], 13: [], 14: [], 20: [], 39: [], 41: [], 43: [], 47: [], 50: [], 52: [], 59: [], 61: [], 62: [], 64: [], 66: [], 68: [], 70: [], 71: [], 72: [], 76: [], 77: [], 79: [], 84: [], 85: [], 88: [], 92: [], 94: [], 98: []}"
dlrs.,14,"{1: [], 2: [], 4: [], 8: [], 14: [], 29: [], 42: [], 43: [], 50: [], 68: [], 86: [], 91: [], 92: [], 100: []}"
do,3,"{7: [], 47: [], 83: []}"
do.,1,{7: []}
does,2,"{47: [], 50: []}"
doing,1,{84: []}
dollar,6,"{22: [], 26: [], 51: [], 59: [], 72: [], 89: []}"
dollars,1,{51: []}
domestic,2,"{26: [], 89: []}"
domesticallyproduced,1,{11: []}
done,1,{84: []}
dont,1,{47: []}
double,1,{24: []}
doubt,1,{1: []}
doubts,1,{1: []}
down,2,"{24: [], 89: []}"
downward,1,{94: []}
dozen,1,{72: []}
draft,1,{83: []}
draw,1,{47: []}
drew,1,{50: []}
drop,1,{22: []}
dropped,1,{59: []}
drought,2,"{1: [], 84: []}"
dry,1,{1: []}
due,5,"{47: [], 63: [], 83: [], 84: [], 92: []}"
during,3,"{11: [], 72: [], 89: []}"
each,3,"{4: [], 65: [], 93: []}"
earlier,5,"{1: [], 22: [], 26: [], 50: [], 91: []}"
earlier.,1,{22: []}
early,6,"{1: [], 5: [], 47: [], 51: [], 54: [], 72: []}"
earned,2,"{71: [], 92: []}"
earnings,6,"{5: [], 14: [], 58: [], 71: [], 79: [], 92: []}"
earnings.,2,"{42: [], 63: []}"
eased,1,{9: []}
economic,3,"{51: [], 72: [], 89: []}"
economies,1,{26: []}
effective,1,{59: []}
effectiveness,1,{59: []}
effects,1,{27: []}
eight,4,"{13: [], 72: [], 76: [], 99: []}"
either,1,{11: []}
elect,1,{83: []}
elected,1,{10: []}
electronics,1,{12: []}
eliminate,1,{94: []}
emerge,1,{69: []}
employee,1,{94: []}
employees,2,"{12: [], 29: []}"
encourage,1,{84: []}
end,4,"{35: [], 42: [], 69: [], 83: []}"
end.,1,{1: []}
end1984,1,{35: []}
endanger,1,{59: []}
ended,12,"{1: [], 13: [], 15: [], 39: [], 50: [], 62: [], 69: [], 72: [], 92: [], 94: [], 98: [], 99: []}"
ending,3,"{43: [], 79: [], 92: []}"
ends,2,"{1: [], 21: []}"
energy,2,"{50: [], 72: []}"
energysteel,1,{50: []}
ensure,1,{2: []}
enter,1,{7: []}
entered,2,"{92: [], 93: []}"
enterprise,1,{27: []}
enterprises,1,{27: []}
environmental,1,{86: []}
equal,3,"{2: [], 40: [], 76: []}"
equity,1,{47: []}
estate,1,{27: []}
estimated,1,{1: []}
estimates,2,"{1: [], 24: []}"
evaluation,1,{47: []}
ever.,1,{22: []}
evidence,1,{59: []}
example,1,{7: []}
exceed,2,"{2: [], 71: []}"
exceeded,1,{50: []}
exception,1,{50: []}
exceptional,1,{22: []}
exchange,1,{59: []}
exchangeable,1,{4: []}
excludes,4,"{25: [], 64: [], 68: [], 76: []}"
excluding,1,{98: []}
exclusive,1,{2: []}
executive,5,"{10: [], 22: [], 62: [], 69: [], 83: []}"
exercisable,1,{2: []}
existing,2,"{47: [], 83: []}"
expand,1,{85: []}
expect,2,"{47: [], 72: []}"
expected,5,"{1: [], 24: [], 42: [], 77: [], 83: []}"
expects,6,"{5: [], 39: [], 43: [], 51: [], 71: [], 92: []}"
expense,1,{94: []}
expenses,1,{92: []}
experience,1,{62: []}
experiencing,1,{1: []}
experts,1,{11: []}
explained.,1,{47: []}
export,2,"{1: [], 69: []}"
exporters,1,{1: []}
exports,1,{9: []}
express,1,{7: []}
expressions,1,{72: []}
extension,1,{27: []}
extraordinary,6,"{25: [], 52: [], 76: [], 78: [], 81: [], 88: []}"
extremely,1,{50: []}
fact,1,{50: []}
factors,1,{89: []}
fail,1,{27: []}
failure.,1,{69: []}
fair,1,{47: []}
fall,5,"{22: [], 24: [], 59: [], 72: [], 73: []}"
falling,3,"{24: [], 50: [], 89: []}"
falls,1,{84: []}
far,2,"{49: [], 69: []}"
farm,2,"{11: [], 84: []}"
farmers,2,"{1: [], 84: []}"
farmers.,1,{84: []}
fats,1,{11: []}
favorable,1,{47: []}
favour,1,{84: []}
favoured,2,"{59: [], 89: []}"
federal,1,{9: []}
federation,1,{69: []}
feet.,1,{9: []}
fell,2,"{9: [], 98: []}"
felt,1,{84: []}
few,1,{1: []}
field.,1,{50: []}
fight,1,{84: []}
figure,2,"{79: [], 89: []}"
figures,2,"{1: [], 16: []}"
figures.,1,{1: []}
filed,1,{43: []}
final,2,"{22: [], 35: []}"
finalized,2,"{54: [], 83: []}"
finance,2,"{62: [], 69: []}"
financed,1,{47: []}
financial,9,"{7: [], 22: [], 27: [], 38: [], 47: [], 51: [], 59: [], 84: [], 85: []}"
firm,1,{86: []}
firms,1,{50: []}
first,10,"{5: [], 10: [], 14: [], 42: [], 43: [], 50: [], 71: [], 79: [], 92: [], 99: []}"
firstquarter,1,{58: []}
fiscal,3,"{43: [], 84: [], 94: []}"
fit,1,{1: []}
fits,1,{50: []}
five,7,"{2: [], 14: [], 15: [], 21: [], 25: [], 42: [], 47: []}"
fix,1,{84: []}
flatly,1,{84: []}
float,1,{59: []}
flow,2,"{27: [], 47: []}"
flow.,2,"{47: [], 62: []}"
following,1,{79: []}
for,41,"{1: [], 2: [], 4: [], 5: [], 7: [], 11: [], 13: [], 14: [], 16: [], 20: [], 22: [], 27: [], 38: [], 40: [], 42: [], 43: [], 47: [], 50: [], 51: [], 52: [], 55: [], 56: [], 59: [], 62: [], 63: [], 64: [], 70: [], 71: [], 72: [], 73: [], 77: [], 79: [], 82: [], 83: [], 84: [], 88: [], 89: [], 92: [], 93: [], 94: [], 100: []}"
forecast,1,{49: []}
foresee,1,{50: []}
form,2,"{31: [], 59: []}"
forma,1,{16: []}
formal,1,{72: []}
formally,1,{83: []}
formation,1,{27: []}
former,2,"{10: [], 56: []}"
formerly,2,"{62: [], 77: []}"
forms,1,{2: []}
forward,2,"{72: [], 83: []}"
found,2,"{50: [], 62: []}"
four,4,"{5: [], 15: [], 21: [], 25: []}"
fourth,4,"{7: [], 43: [], 63: [], 94: []}"
fraction,1,{4: []}
franchise.,1,{71: []}
francs,1,{84: []}
frequent,1,{84: []}
friends,1,{72: []}
from,33,"{5: [], 9: [], 11: [], 16: [], 20: [], 24: [], 25: [], 31: [], 35: [], 38: [], 39: [], 42: [], 47: [], 50: [], 55: [], 56: [], 58: [], 59: [], 61: [], 62: [], 69: [], 72: [], 73: [], 76: [], 77: [], 80: [], 82: [], 83: [], 84: [], 89: [], 91: [], 94: [], 99: []}"
full,2,"{7: [], 59: []}"
functional,1,{27: []}
funds,1,{62: []}
further,4,"{38: [], 49: [], 83: [], 84: []}"
future,3,"{2: [], 39: [], 94: []}"
future.,1,{22: []}
gain,8,"{25: [], 42: [], 43: [], 58: [], 71: [], 76: [], 81: [], 88: []}"
gains,2,"{56: [], 68: []}"
gallium,1,{95: []}
game,1,{47: []}
gas,2,"{9: [], 47: []}"
gasoline,1,{20: []}
gasoline.,1,{20: []}
gasolineproducing,1,{20: []}
gate,1,{95: []}
gave,1,{22: []}
general,1,{43: []}
generated,1,{2: []}
geographic,1,{27: []}
get,1,{43: []}
getting,1,{69: []}
giant,2,"{50: [], 72: []}"
ginnings,1,{35: []}
give,2,"{27: [], 84: []}"
given,1,{87: []}
given.,2,"{74: [], 87: []}"
go,2,"{50: [], 84: []}"
goals,1,{39: []}
going,4,"{1: [], 47: [], 50: [], 69: []}"
good,3,"{1: [], 47: [], 84: []}"
government,3,"{7: [], 50: [], 84: []}"
governments,1,{50: []}
governor,1,{51: []}
granted,1,{58: []}
greater,1,{47: []}
gross,1,{89: []}
ground,2,"{11: [], 50: []}"
group,5,"{12: [], 29: [], 83: [], 91: [], 92: []}"
groups,1,{22: []}
growers,1,{69: []}
growing,1,{7: []}
growth,3,"{3: [], 39: [], 89: []}"
guarantee,1,{85: []}
guaranteed,1,{62: []}
guessing.,1,{59: []}
had,16,"{7: [], 11: [], 14: [], 26: [], 29: [], 42: [], 47: [], 49: [], 50: [], 59: [], 71: [], 72: [], 83: [], 86: [], 89: [], 91: []}"
half,5,"{47: [], 50: [], 59: [], 72: [], 99: []}"
handle,1,{50: []}
handled,1,{27: []}
hands,2,"{1: [], 73: []}"
happening,1,{69: []}
hardening,1,{95: []}
hardtoreplace,1,{50: []}
harvesting,1,{1: []}
has,20,"{1: [], 2: [], 4: [], 12: [], 27: [], 38: [], 42: [], 47: [], 50: [], 55: [], 62: [], 63: [], 69: [], 70: [], 72: [], 82: [], 84: [], 94: [], 95: [], 100: []}"
hasnt,1,{72: []}
hasty,1,{50: []}
have,14,"{1: [], 7: [], 11: [], 14: [], 22: [], 23: [], 27: [], 38: [], 47: [], 50: [], 51: [], 59: [], 72: [], 84: []}"
having,1,{7: []}
he,11,"{7: [], 27: [], 47: [], 50: [], 51: [], 59: [], 69: [], 71: [], 72: [], 83: [], 84: []}"
head,1,{84: []}
headed,1,{92: []}
heart,1,{50: []}
hearts,1,{50: []}
heavy,1,{50: []}
held,8,"{1: [], 4: [], 32: [], 47: [], 50: [], 72: [], 85: [], 86: []}"
help,3,"{2: [], 49: [], 84: []}"
helped,2,"{73: [], 89: []}"
her,1,{7: []}
here,2,"{26: [], 59: []}"
here.,2,"{72: [], 84: []}"
high,1,{50: []}
higher,6,"{5: [], 22: [], 47: [], 50: [], 89: [], 92: []}"
highest,1,{59: []}
highoctane,1,{20: []}
him,2,"{72: [], 84: []}"
his,1,{72: []}
history.,1,{38: []}
hold,1,{72: []}
holders,1,{77: []}
holding,3,"{14: [], 27: [], 50: []}"
holdings,1,{2: []}
holds.,1,{32: []}
hopes,1,{47: []}
hostile,1,{72: []}
houses,1,{73: []}
how,6,"{1: [], 7: [], 47: [], 59: [], 83: [], 84: []}"
however,1,{84: []}
huge,1,{50: []}
humidity,1,{1: []}
hundred,1,{1: []}
idea,1,{27: []}
identify,1,{47: []}
if,5,"{2: [], 4: [], 27: [], 47: [], 59: []}"
immediate,1,{72: []}
impact,1,{2: []}
impatient,1,{7: []}
implementation,1,{51: []}
implemented,1,{51: []}
implication,1,{50: []}
important,1,{69: []}
imported,1,{11: []}
imports,2,"{9: [], 24: []}"
improvement,1,{89: []}
improvements,1,{2: []}
improving,1,{1: []}
in,53,"{1: [], 3: [], 5: [], 7: [], 9: [], 14: [], 20: [], 22: [], 24: [], 25: [], 26: [], 27: [], 31: [], 32: [], 33: [], 35: [], 38: [], 39: [], 42: [], 43: [], 47: [], 49: [], 50: [], 51: [], 52: [], 54: [], 58: [], 59: [], 61: [], 62: [], 63: [], 64: [], 69: [], 70: [], 71: [], 72: [], 73: [], 75: [], 76: [], 77: [], 78: [], 79: [], 82: [], 83: [], 84: [], 85: [], 86: [], 89: [], 91: [], 92: [], 93: [], 98: [], 99: []}"
incentive,1,{27: []}
include,5,"{32: [], 41: [], 51: [], 77: [], 87: []}"
included,3,"{1: [], 4: [], 52: []}"
includes,6,"{8: [], 13: [], 56: [], 61: [], 81: [], 88: []}"
including,4,"{2: [], 12: [], 29: [], 47: []}"
income,2,"{22: [], 76: []}"
incorporation,1,{79: []}
increase,6,"{2: [], 3: [], 31: [], 47: [], 50: [], 84: []}"
increased,2,"{24: [], 27: []}"
increasing,1,{24: []}
indebtedness,1,{84: []}
independent,2,"{47: [], 59: []}"
index,1,{59: []}
indexs,1,{59: []}
indicate,1,{59: []}
indicated,1,{11: []}
indicates,1,{50: []}
industrial,2,"{22: [], 98: []}"
industrialised,2,"{26: [], 59: []}"
industry.,1,{50: []}
inflation,1,{89: []}
inflation.,1,{59: []}
informed,1,{47: []}
initial,3,"{16: [], 53: [], 77: []}"
initially,1,{11: []}
instead,1,{94: []}
institute,1,{89: []}
institutions,2,"{27: [], 85: []}"
institutions.,1,{47: []}
insufficient,1,{89: []}
insurance,1,{27: []}
integral,1,{47: []}
intend,2,"{47: [], 83: []}"
intent,3,"{23: [], 38: [], 42: []}"
intentions,1,{47: []}
interest,3,"{7: [], 59: [], 72: []}"
interests,2,"{43: [], 50: []}"
international,3,"{27: [], 51: [], 73: []}"
intervention,3,"{51: [], 59: [], 84: []}"
into,8,"{20: [], 50: [], 59: [], 65: [], 70: [], 73: [], 92: [], 93: []}"
introduce,1,{71: []}
invest,1,{22: []}
investigating,1,{62: []}
investment,3,"{27: [], 50: [], 68: []}"
investor,3,"{50: [], 72: [], 92: []}"
investors,3,"{12: [], 29: [], 43: []}"
involved,3,"{27: [], 39: [], 100: []}"
involvement.,1,{94: []}
involving,1,{2: []}
iron,1,{24: []}
irresistible.,1,{59: []}
is,26,"{1: [], 4: [], 7: [], 12: [], 14: [], 15: [], 20: [], 27: [], 31: [], 38: [], 40: [], 42: [], 43: [], 47: [], 50: [], 51: [], 59: [], 62: [], 65: [], 69: [], 72: [], 77: [], 80: [], 83: [], 91: [], 93: []}"
issuance,1,{100: []}
issued,1,{89: []}
issues,1,{50: []}
it,42,"{1: [], 2: [], 3: [], 4: [], 5: [], 7: [], 12: [], 14: [], 20: [], 22: [], 24: [], 29: [], 31: [], 32: [], 38: [], 39: [], 40: [], 42: [], 43: [], 47: [], 49: [], 50: [], 51: [], 54: [], 55: [], 58: [], 59: [], 62: [], 63: [], 71: [], 72: [], 77: [], 79: [], 80: [], 83: [], 84: [], 85: [], 91: [], 92: [], 94: [], 95: [], 100: []}"
items,1,{83: []}
its,40,"{1: [], 2: [], 3: [], 4: [], 5: [], 10: [], 12: [], 14: [], 16: [], 20: [], 22: [], 29: [], 31: [], 32: [], 33: [], 38: [], 39: [], 40: [], 42: [], 43: [], 47: [], 49: [], 50: [], 53: [], 54: [], 58: [], 62: [], 63: [], 65: [], 69: [], 72: [], 77: [], 78: [], 79: [], 80: [], 85: [], 86: [], 91: [], 92: [], 94: []}"
job,1,{84: []}
joint,1,{59: []}
jointly,2,"{23: [], 93: []}"
journalists.,1,{69: []}
july,1,{1: []}
jumped,1,{50: []}
just,1,{50: []}
key,1,{27: []}
kilos,1,{1: []}
kilos.,1,{1: []}
knew,1,{69: []}
know,1,{72: []}
known,1,{84: []}
labels,1,{2: []}
labor,1,{42: []}
larger,1,{59: []}
largest,1,{50: []}
last,11,"{1: [], 5: [], 42: [], 50: [], 51: [], 71: [], 73: [], 83: [], 84: [], 89: [], 92: []}"
late,3,"{1: [], 20: [], 83: []}"
later,1,{4: []}
lead,2,"{11: [], 43: []}"
leader,1,{84: []}
leading,1,{59: []}
league,1,{27: []}
least,2,"{27: [], 59: []}"
leave,1,{59: []}
led,1,{71: []}
left,1,{94: []}
legal,1,{43: []}
lending,1,{59: []}
less,1,{50: []}
let,1,{59: []}
letter,3,"{23: [], 38: [], 42: []}"
level,2,"{51: [], 59: []}"
level.,2,"{59: [], 84: []}"
levels,3,"{1: [], 59: [], 69: []}"
levels.,1,{59: []}
liabilities,2,"{77: [], 100: []}"
liability,1,{79: []}
licensee,1,{2: []}
light,1,{1: []}
ligigation,1,{47: []}
like,1,{27: []}
likely,2,"{39: [], 83: []}"
limited,2,"{1: [], 43: []}"
limits,1,{83: []}
line,3,"{5: [], 47: [], 71: []}"
lines,1,{27: []}
lines.,1,{27: []}
liquids,1,{47: []}
lire,1,{89: []}
listed,1,{43: []}
listing,1,{91: []}
loan,3,"{58: [], 62: [], 98: []}"
loans,1,{98: []}
long,1,{27: []}
longerterm,1,{51: []}
longrange,1,{50: []}
longterm...also,1,{50: []}
look,1,{72: []}
looking,1,{50: []}
loot,1,{27: []}
loss,19,"{8: [], 13: [], 15: [], 16: [], 17: [], 21: [], 25: [], 30: [], 39: [], 41: [], 42: [], 52: [], 56: [], 61: [], 62: [], 68: [], 76: [], 92: [], 94: []}"
losses,4,"{50: [], 52: [], 61: [], 79: []}"
lost,1,{39: []}
lower,4,"{1: [], 59: [], 84: [], 92: []}"
lowoctane,1,{20: []}
lowpriced,1,{71: []}
ltAAIX,1,{100: []}
ltACPT,1,{68: []}
ltAGSI,1,{30: []}
ltAHC.,1,{50: []}
ltAMB,1,{71: []}
ltAN,1,{50: []}
ltANSY,2,"{15: [], 21: []}"
ltARAI,1,{66: []}
ltBP,2,"{47: [], 72: []}"
ltBTR,1,{65: []}
ltCAMD,1,{95: []}
ltCAWL.L,1,{7: []}
ltCBTB,1,{70: []}
ltCCLR,1,{60: []}
ltCCN,1,{40: []}
ltCES,1,{75: []}
ltCHV,1,{50: []}
ltCPC,1,{91: []}
ltCPC.,1,{91: []}
ltCPML,1,{2: []}
ltCRN,1,{46: []}
ltCSP,1,{86: []}
ltCommonwealth,1,{32: []}
ltDIC,1,{92: []}
ltDISC,1,{17: []}
ltDNZR,1,{32: []}
ltDSN,1,{42: []}
ltE.C.,1,{86: []}
ltELSE,1,{78: []}
ltEPUB,1,{39: []}
ltERDI.MI,1,{91: []}
ltEuropean,1,{91: []}
ltFAIR,1,{65: []}
ltFAL,1,{52: []}
ltFDS,1,{31: []}
ltFFMC,1,{85: []}
ltFNF,1,{33: []}
ltFRFE,1,{58: []}
ltFWB,1,{14: []}
ltGLD,1,{29: []}
ltGMHC,1,{57: []}
ltGNB,2,"{12: [], 29: []}"
ltGOAQC,1,{100: []}
ltGQ,1,{95: []}
ltGV,1,{25: []}
ltGruppo,1,{91: []}
ltHMSB,2,"{34: [], 53: []}"
ltIsland,1,{6: []}
ltJR,1,{42: []}
ltLOMK,1,{93: []}
ltLPX,1,{54: []}
ltMARK,1,{87: []}
ltMCV,1,{4: []}
ltMERIDIAN,1,{23: []}
ltMLLE,1,{74: []}
ltMM,1,{62: []}
ltMNST,1,{76: []}
ltMOB,1,{20: []}
ltMeridian,1,{23: []}
ltNFSI,1,{16: []}
ltNational,1,{4: []}
ltNorth,1,{85: []}
ltNorthern,1,{65: []}
ltOLDR,1,{44: []}
ltOXY,1,{50: []}
ltPDAS,1,{63: []}
ltPFINA,1,{64: []}
ltPNP,1,{19: []}
ltPOM,1,{88: []}
ltPRECAMBRIAN,1,{41: []}
ltPSY,1,{43: []}
ltPrecambrian,1,{87: []}
ltQANT,2,"{61: [], 62: []}"
ltQTEC,1,{8: []}
ltRCP,1,{80: []}
ltRD,1,{47: []}
ltROG,1,{5: []}
ltSC,1,{47: []}
ltSHU,1,{13: []}
ltSPC,1,{38: []}
ltSPI,1,{81: []}
ltSRD,2,"{47: [], 72: []}"
ltSTRATA,1,{93: []}
ltSUBBA,1,{55: []}
ltSedio,1,{2: []}
ltTOOG,1,{94: []}
ltTWT,1,{77: []}
ltTX,1,{50: []}
ltUAL,1,{77: []}
ltUCL,1,{50: []}
ltUH,1,{79: []}
ltUHCO,1,{56: []}
ltUsers,1,{38: []}
ltVIA,1,{4: []}
ltVOLV.ST,1,{22: []}
ltValley,1,{55: []}
ltWoodco,1,{2: []}
ltX,1,{72: []}
ltXON,1,{50: []}
made,2,"{49: [], 50: []}"
made.,1,{1: []}
mail,1,{39: []}
main,1,{83: []}
mainly,1,{92: []}
maintain,2,"{27: [], 72: []}"
maintained,2,"{47: [], 50: []}"
major,8,"{5: [], 26: [], 50: [], 69: [], 84: [], 89: [], 98: [], 99: []}"
majority,1,{11: []}
majors,1,{50: []}
make,3,"{77: [], 84: [], 91: []}"
makes,1,{2: []}
making,2,"{1: [], 27: []}"
management,1,{86: []}
management.,1,{92: []}
manager,1,{69: []}
managerial,1,{7: []}
managers,1,{10: []}
manufacture,1,{95: []}
manufactures,1,{92: []}
many,2,"{59: [], 84: []}"
margins,1,{92: []}
market,7,"{2: [], 7: [], 47: [], 49: [], 50: [], 51: [], 69: []}"
marketing,1,{92: []}
marketing.,1,{39: []}
markets,2,"{59: [], 84: []}"
markets.,2,"{7: [], 84: []}"
master,1,{43: []}
matchmaking,1,{50: []}
material,1,{83: []}
may,4,"{42: [], 50: [], 72: [], 77: []}"
mean,1,{27: []}
means,3,"{1: [], 47: [], 62: []}"
meanwhile,1,{9: []}
measure,1,{11: []}
meat,1,{84: []}
meet,5,"{4: [], 39: [], 69: [], 83: [], 84: []}"
meeting,3,"{11: [], 51: [], 69: []}"
meeting.,1,{6: []}
member,1,{11: []}
member.,1,{10: []}
members,1,{47: []}
